CID,Donation,Party
N00026160,2600,R
N00030856,1000,D
N00002884,1000,D
N00009738,500,R
N00031934,2500,R
N00025219,2500,R
N00004133,2000,R
N00007833,2500,D
N00007833,1000,D
N00007021,1500,D
N00029391,2000,R
N00026627,1000,R
N00029649,1000,D
N00024809,1000,R
N00030026,2500,R
N00005656,2500,R
N00024753,1000,R
N00028152,1500,R
N00031226,1000,R
N00029679,1000,R
N00036449,2600,R
N00003950,2490,D
N00035688,1000,D
N00035509,2000,R
N00024978,5000,D
N00032088,1000,R
N00008799,1000,R
N00035282,2000,R
N00033640,1000,D
N00024922,1000,R
N00003950,1000,D
N00030071,2500,D
N00033510,1000,D
N00030693,1000,D
N00030622,1000,D
N00007021,500,D
N00031741,500,R
N00031103,3000,R
N00004133,1000,R
N00033591,2000,D
N00031502,5000,R
N00027649,5000,R
N00033897,1000,D
N00031777,1000,R
N00030967,1000,R
N00031934,1500,R
N00032088,4000,R
N00024753,5000,R
N00031539,2000,R
N00031104,2500,R
N00033091,1000,D
N00027509,1000,R
N00029404,5000,R
N00031502,-1000,R
N00013770,1000,R
N00024922,1000,R
N00030875,1000,D
N00032088,1150,R
N00033744,2500,R
N00009774,2000,D
N00026341,1000,D
N00031513,1000,R
N00029632,1000,R
N00035440,5000,R
N00027510,1000,D
N00031253,750,R
N00035007,1000,R
N00031539,1000,R
N00024753,1000,R
N00031177,1000,R
N00001171,1000,D
N00004403,2500,D
N00033217,5000,D
N00029260,1000,D
N00033091,1000,D
N00004614,1000,R
N00005883,1000,R
N00035346,5000,R
N00029632,1000,R
N00000851,1000,R
N00027860,2500,D
N00035282,1000,R
N00027510,2500,D
N00026043,1000,R
N00033410,1000,R
N00002577,-5000,D
N00030026,1000,R
N00009759,500,D
N00004133,2000,R
N00034784,2000,R
N00000684,2000,R
N00003288,2500,D
N00033839,-3000,D
N00013345,2500,D
N00031253,2500,R
N00036023,1500,R
N00033842,5000,R
N00027239,1000,D
N00036023,1000,R
N00030673,1000,R
N00030744,2000,R
N00033508,1000,D
N00034416,750,R
N00031545,3000,R
N00003467,1000,R
N00030967,2000,R
N00025495,500,R
N00004719,1000,R
N00003225,1000,D
N00035451,5000,D
N00026043,1000,R
N00030829,2000,R
