CID,ClusterID
N00028958,0
N00027860,1
N00031681,0
N00035825,2
N00027509,1
N00007833,0
N00033217,0
N00030801,2
N00024922,2
N00035346,2
N00026160,0
N00012739,0
N00030875,1
N00006701,0
N00027229,0
N00033310,1
N00004403,1
N00005883,0
N00030967,0
N00028152,2
N00007017,0
N00027741,1
N00035440,2
N00029649,0
N00033987,1
N00001746,1
N00036107,2
N00034453,1
N00007419,0
N00013345,0
N00006690,0
N00003288,1
N00031958,1
N00033640,1
N00026368,0
N00001171,1
N00007690,0
N00031934,1
N00031502,0
N00025495,1
N00033510,1
N00026710,1
N00006897,1
N00035616,2
N00024842,1
N00030788,1
N00004614,0
N00031672,1
N00001003,1
N00030026,1
N00030184,1
N00029391,0
N00026631,1
N00007099,0
N00031265,0
N00013770,0
N00035391,2
N00030645,1
N00033631,0
N00032019,0
N00035792,2
N00035215,1
N00027462,1
N00031593,0
N00030191,2
N00025292,0
N00032441,1
N00030744,1
N00029788,1
N00002577,0
N00005681,0
N00008274,0
N00000267,0
N00029127,1
N00030673,0
N00024753,0
N00000684,1
N00033508,1
N00033539,1
N00003689,1
N00009604,1
N00002884,1
N00029026,1
N00027060,1
N00035509,2
N00032243,2
N00004884,1
N00030768,1
N00028133,1
N00033904,1
N00025337,0
N00035523,2
N00029404,2
N00001024,0
N00035717,2
N00030196,1
N00029285,1
N00026926,0
N00035927,2
N00003467,1
N00007248,0
N00029139,1
N00036149,2
N00035531,2
N00003950,1
N00026166,1
N00035688,2
N00000575,1
N00030676,1
N00002713,1
N00006460,1
N00035311,2
N00031226,1
N00026914,1
N00036097,2
N00012942,1
N00033982,2
N00031412,1
N00030829,2
N00033549,1
N00035527,0
N00034224,0
N00013817,0
N00033897,0
N00030071,0
N00034547,1
N00004887,1
N00031103,2
N00006863,0
N00029662,1
N00027239,1
N00036135,2
N00007021,1
N00000743,0
N00032029,1
N00027894,1
N00007999,1
N00034416,1
N00028257,0
N00034068,2
N00030693,1
N00027751,2
N00001285,1
N00008028,1
N00025219,0
N00031647,1
N00027514,0
N00025175,0
N00036175,2
N00007479,0
N00031253,0
N00005293,2
N00034254,1
N00036449,2
N00035934,2
N00024809,1
N00034120,1
N00002858,0
N00024992,0
N00033106,1
N00034277,1
N00033474,1
N00024871,0
N00034349,0
N00031857,0
N00032416,0
N00004719,0
N00034784,1
N00033932,1
N00030891,1
N00004436,0
N00030771,0
N00030968,0
N00033316,1
N00033410,1
N00030752,0
N00036403,2
N00035628,2
N00007151,0
N00003105,0
N00009585,1
N00027459,1
N00035307,2
N00024759,1
N00035431,2
N00033030,1
N00035347,2
N00031513,1
N00012546,1
N00035535,2
N00033814,2
N00003225,1
N00033399,1
N00013855,2
N00035607,2
N00033274,1
N00027510,0
N00027523,1
N00027626,0
N00033997,2
N00031539,0
N00031227,1
N00035972,2
N00000851,0
N00029675,1
N00025237,0
N00029077,0
N00033842,2
N00031128,1
N00033983,0
N00009795,0
N00013799,1
N00031064,2
N00036023,2
N00007312,1
N00008046,1
N00026686,0
N00033495,1
N00007232,1
N00030667,0
N00024978,1
N00030880,1
N00030717,0
N00035282,1
N00001821,2
N00032088,1
N00031134,0
N00009829,0
N00034041,1
N00007335,0
N00003132,1
N00026335,0
N00026460,1
N00002793,1
N00033591,1
N00006789,1
N00031005,1
N00030856,1
N00033518,1
N00029632,1
N00009738,1
N00029574,0
N00005870,0
N00012233,1
N00005656,1
N00030490,1
N00004558,0
N00035380,0
N00030736,0
N00032457,1
N00029260,0
N00033281,1
N00032022,1
N00035820,2
N00033832,1
N00001311,1
N00033527,0
N00031177,0
N00036409,2
N00031877,1
N00034584,2
N00028249,0
N00006052,1
N00001971,0
N00001811,0
N00025280,1
N00031741,1
N00034746,1
N00027623,1
N00005559,0
N00013323,1
N00033390,1
N00025726,0
N00009759,1
N00036275,2
N00004133,2
N00006671,1
N00008122,1
N00030600,1
N00030957,2
N00007781,1
N00009774,0
N00030910,1
N00002893,1
N00006023,0
N00035403,2
N00003522,1
N00035451,2
N00008799,0
N00031417,2
N00007727,1
N00026961,1
N00004961,0
N00030197,0
N00003028,0
N00026341,1
N00035691,2
N00029147,0
N00006806,1
N00031104,1
N00002260,0
N00026457,1
N00000078,1
N00009154,0
N00033220,1
N00027649,1
N00028073,0
N00007360,2
N00000898,1
N00030602,1
N00033091,0
N00033630,1
N00035420,2
N00031545,1
N00033744,2
N00029679,1
N00006423,1
N00029736,1
N00035278,2
N00001619,2
N00033839,0
N00028418,0
N00026627,0
N00035007,1
N00005736,2
N00027467,1
N00031777,1
N00000153,0
N00006446,1
N00030650,1
N00030670,0
N00025095,1
N00030709,2
N00006134,0
N00000615,1
N00033367,0
N00009660,0
N00036633,2
N00026043,0
N00029258,0
N00000515,1
N00000939,0
N00031938,2
N00026163,0
N00030581,0
N00030622,1
