CID, Party, 0 to 580.49, 580.49 to 1526.17, 1526.17 to 4012.47, 4012.47 to 10549.24, over 10549.24
N00028958, R, 5.01, 54.39, 34.65, 5.94, 0.00
N00027860, D, 5.57, 60.23, 26.58, 7.62, 0.00
N00031681, R, 6.79, 49.32, 35.24, 8.65, 0.00
N00035825, D, 7.87, 32.44, 31.54, 26.99, 1.15
N00027509, R, 3.09, 59.98, 31.81, 5.12, 0.00
N00007833, D, 4.36, 42.67, 42.65, 10.32, 0.00
N00033217, D, 12.67, 48.09, 29.11, 9.72, 0.41
N00030801, R, 8.07, 34.49, 29.96, 17.12, 10.35
N00024922, R, 2.04, 33.62, 41.68, 22.67, 0.00
N00035346, R, 5.36, 37.46, 34.15, 20.40, 2.63
N00026160, R, 3.74, 49.93, 35.40, 10.94, 0.00
N00012739, R, 4.61, 51.34, 36.93, 7.11, 0.00
N00030875, D, 12.95, 49.23, 26.75, 8.28, 2.79
N00006701, D, 8.63, 48.85, 29.67, 12.85, 0.00
N00027229, R, 8.40, 46.28, 34.91, 9.16, 1.24
N00033310, R, 8.42, 59.02, 26.84, 5.72, 0.00
N00004403, D, 6.34, 54.78, 32.16, 6.73, 0.00
N00005883, R, 4.08, 44.25, 39.47, 12.03, 0.17
N00030967, R, 7.69, 50.58, 36.24, 4.95, 0.55
N00028152, R, 2.60, 24.65, 50.54, 21.63, 0.57
N00007017, R, 5.54, 48.74, 35.64, 10.08, 0.00
N00027741, D, 7.94, 53.96, 27.39, 9.23, 1.47
N00035440, R, 17.45, 36.37, 25.04, 21.14, 0.00
N00029649, D, 6.29, 40.67, 42.37, 10.67, 0.00
N00033987, R, 7.82, 55.14, 30.88, 6.17, 0.00
N00001746, D, 6.07, 55.15, 24.26, 14.51, 0.00
N00036107, D, 3.86, 33.80, 35.69, 26.65, 0.00
N00034453, D, 8.30, 59.80, 26.66, 5.24, 0.00
N00007419, D, 9.24, 46.95, 35.28, 8.53, 0.00
N00013345, D, 5.30, 43.09, 42.08, 9.34, 0.19
N00006690, D, 5.17, 44.15, 33.20, 17.48, 0.00
N00003288, D, 4.20, 53.79, 30.06, 11.95, 0.00
N00031958, R, 10.03, 54.02, 28.96, 6.99, 0.00
N00033640, D, 5.85, 62.30, 26.99, 4.87, 0.00
N00026368, R, 9.01, 49.71, 33.62, 7.67, 0.00
N00001171, D, 3.18, 58.52, 32.76, 5.28, 0.26
N00007690, R, 4.39, 42.04, 41.03, 12.41, 0.14
N00031934, R, 8.15, 53.47, 25.92, 8.36, 4.10
N00031502, R, 6.59, 52.18, 33.23, 8.01, 0.00
N00025495, R, 6.15, 57.39, 27.55, 8.92, 0.00
N00033510, D, 12.63, 50.03, 26.07, 9.94, 1.33
N00026710, R, 4.17, 56.09, 33.10, 6.64, 0.00
N00006897, D, 4.12, 56.16, 25.39, 14.34, 0.00
N00035616, R, 5.46, 35.58, 34.64, 19.64, 4.67
N00024842, D, 5.66, 55.49, 30.86, 7.99, 0.00
N00030788, R, 5.23, 57.42, 33.31, 4.03, 0.00
N00004614, R, 5.08, 50.52, 34.60, 8.48, 1.31
N00031672, R, 8.39, 55.42, 31.60, 4.58, 0.00
N00001003, D, 1.98, 59.80, 28.88, 9.35, 0.00
N00030026, R, 5.20, 55.50, 29.80, 9.50, 0.00
N00030184, D, 5.25, 59.95, 27.76, 6.60, 0.45
N00029391, R, 5.22, 53.35, 35.18, 6.25, 0.00
